area,hemi,Thickness: Adult,Area: Adult,Thickness: Child,Area: Child
banks superior temporal,lh,-0.06,0.022,-0.13,-0.029
caudal anterior cingulate,lh,0.003,0.017,0.002,-0.118
caudal middle frontal,lh,-0.09,-0.04,-0.06,-0.016
cuneus,lh,-0.042,-0.023,-0.184,-0.095
entorhinal,lh,-0.062,-0.013,-0.045,0.017
frontal pole,lh,-0.048,-0.034,-0.044,-0.014
fusiform,lh,-0.109,0.028,-0.092,-0.027
inferior parietal,lh,-0.14,0.036,-0.305,-0.188
inferior temporal,lh,-0.087,-0.023,-0.085,0.04
insula,lh,-0.065,-0.049,-0.004,-0.107
isthmus cingulate,lh,-0.068,-0.02,-0.124,0.129
lateral occipital,lh,-0.074,-0.045,-0.256,0.015
lateral orbito frontal,lh,-0.096,-0.048,0.099,-0.178
lingual,lh,-0.052,-0.026,-0.068,-0.04
medial orbito frontal,lh,-0.084,-0.003,-0.075,-0.188
middle temporal,lh,-0.093,0.008,-0.083,-0.102
para central,lh,-0.013,-0.016,-0.11,-0.171
parahippocampal,lh,-0.059,0.051,-0.039,0.022
pars opercularis,lh,-0.083,-0.087,-0.063,-0.065
pars orbitalis,lh,-0.05,-0.032,-0.017,-0.113
pars triangularis,lh,-0.032,-0.095,-0.009,0.04
pericalcarine,lh,0.011,-0.014,-0.143,-0.094
post central,lh,-0.023,-0.071,-0.085,-0.129
posterior cingulate,lh,-0.071,-0.025,-0.132,-0.23
pre central,lh,-0.023,0.002,-0.099,-0.029
precuneus,lh,-0.097,0.034,-0.207,-0.08
rostral anterior cingulate,lh,-0.074,-0.004,0.077,-0.118
rostral middle frontal,lh,-0.095,0.001,-0.026,-0.168
superior frontal,lh,-0.069,-0.058,-0.06,-0.145
superior parietal,lh,-0.062,-0.049,-0.241,-0.065
superior temporal,lh,-0.007,-0.071,0.012,-0.006
supramarginal,lh,-0.052,-0.055,-0.152,0.053
temporal pole,lh,0.034,-0.001,0.029,0.131
transverse temporal,lh,-0.004,-0.164,-0.098,0.033
banks superior temporal,rh,0.005,0.027,-0.11,0.027
caudal anterior cingulate,rh,-0.038,-0.048,0.065,-0.002
caudal middle frontal,rh,-0.079,-0.005,-0.133,0.019
cuneus,rh,-0.033,-0.017,-0.157,-0.126
entorhinal,rh,0.014,-0.021,-0.019,0.076
frontal pole,rh,0.021,0.017,0.042,0.131
fusiform,rh,-0.089,-0.005,-0.067,-0.132
inferior parietal,rh,-0.14,0.055,-0.225,-0.072
inferior temporal,rh,-0.059,0.018,-0.083,0.017
insula,rh,-0.065,-0.024,-0.089,-0.031
isthmus cingulate,rh,-0.052,-0.03,-0.036,0.04
lateral occipital,rh,-0.072,-0.024,-0.163,-0.102
lateral orbito frontal,rh,-0.108,0.008,0.04,-0.099
lingual,rh,-0.044,-0.011,0.006,-0.064
medial orbito frontal,rh,-0.102,0.03,0.096,-0.252
middle temporal,rh,-0.098,-0.032,-0.078,-0.038
para central,rh,0.009,0.028,-0.071,-0.223
parahippocampal,rh,-0.08,0.017,-0.068,-0.045
pars opercularis,rh,-0.062,-0.039,-0.039,-0.034
pars orbitalis,rh,-0.069,0.002,-0.047,-0.115
pars triangularis,rh,-0.056,-0.032,-0.056,-0.099
pericalcarine,rh,0.025,-0.034,-0.13,-0.052
post central,rh,0.036,-0.013,-0.096,-0.042
posterior cingulate,rh,-0.057,-0.069,-0.101,-0.166
pre central,rh,-0.037,-0.007,-0.079,0.018
precuneus,rh,-0.101,-0.008,-0.152,-0.007
rostral anterior cingulate,rh,0.005,-0.06,-0.072,0.01
rostral middle frontal,rh,-0.091,0.011,-0.076,-0.155
superior frontal,rh,-0.038,-0.061,-0.061,-0.185
superior parietal,rh,-0.047,-0.034,-0.269,-0.083
superior temporal,rh,0.014,-0.11,-0.038,-0.034
supramarginal,rh,0.003,-0.079,-0.073,-0.033
temporal pole,rh,0.015,0.023,0.021,0.01
transverse temporal,rh,-0.024,-0.104,-0.022,0.048
