gene_symbol,gene_name,entrez_id,chromosome
C8G,"complement component 8, gamma polypeptide",733.0,9
C9,complement component 9,735.0,5
MRPL49,mitochondrial ribosomal protein L49,740.0,11
ZNHIT2,"zinc finger, HIT-type containing 2",741.0,11
MPPED2,metallophosphoesterase domain containing 2,744.0,11
C11orf9,chromosome 11 open reading frame 9,745.0,11
C11orf10,chromosome 11 open reading frame 10,746.0,11
DAGLA,"diacylglycerol lipase, alpha",747.0,11
C16orf3,chromosome 16 open reading frame 3,750.0,16
FMNL1,formin-like 1,752.0,17
PTTG1IP,pituitary tumor-transforming 1 interacting protein,754.0,21
C21orf2,chromosome 21 open reading frame 2,755.0,21
TMEM50B,transmembrane protein 50B,757.0,21
CA1,carbonic anhydrase I,759.0,8
CA2,carbonic anhydrase II,760.0,8
CA3,"carbonic anhydrase III, muscle specific",761.0,8
CA4,carbonic anhydrase IV,762.0,17
SERPINA6,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6",866.0,14
CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",867.0,11
CBLB,"Cbl proto-oncogene, E3 ubiquitin protein ligase B",868.0,3
CBLN1,cerebellin 1 precursor,869.0,16
SERPINH1,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",871.0,11
CBR1,carbonyl reductase 1,873.0,21
CBR3,carbonyl reductase 3,874.0,21
CBS,cystathionine-beta-synthase,875.0,21
CCIN,calicin,881.0,9
CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",883.0,9
CCK,cholecystokinin,885.0,3
CCKBR,cholecystokinin B receptor,887.0,11
CCNA2,cyclin A2,890.0,4
CCNB1,cyclin B1,891.0,5
CCND2,cyclin D2,894.0,12
CCND3,cyclin D3,896.0,6
CCNE1,cyclin E1,898.0,19
CCNF,cyclin F,899.0,16
CCNG2,cyclin G2,901.0,4
CCNH,cyclin H,902.0,5
CCNT1,cyclin T1,904.0,12
CD1A,CD1a molecule,909.0,1
CD1B,CD1b molecule,910.0,1
CD1C,CD1c molecule,911.0,1
CD1D,CD1d molecule,912.0,1
CD1E,CD1e molecule,913.0,1
CD2,CD2 molecule,914.0,1
CD3D,"CD3d molecule, delta (CD3-TCR complex)",915.0,11
CD3E,"CD3e molecule, epsilon (CD3-TCR complex)",916.0,11
CD3G,"CD3g molecule, gamma (CD3-TCR complex)",917.0,11
CD247,CD247 molecule,919.0,1
CD4,CD4 molecule,920.0,12
CD5,CD5 molecule,921.0,11
CD5L,CD5 molecule-like,922.0,1
CD6,CD6 molecule,923.0,11
CD7,CD7 molecule,924.0,17
CD8A,CD8a molecule,925.0,2
CD9,CD9 molecule,928.0,12
CD19,CD19 molecule,930.0,16
MS4A1,"membrane-spanning 4-domains, subfamily A, member 1",931.0,11
MS4A3,"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)",932.0,11
CD22,CD22 molecule,933.0,19
CD24,CD24 molecule,100133941.0,6
CD27,CD27 molecule,939.0,12
CD28,CD28 molecule,940.0,2
CD80,CD80 molecule,941.0,3
